STNAME,Georgia,,
,,,
Average of CENSUS2010POP,,,
STATE,COUNTY,CTYNAME,Total
13,1,Appling County,18236
,3,Atkinson County,8375
,5,Bacon County,11096
,7,Baker County,3451
,9,Baldwin County,45720
,11,Banks County,18395
,13,Barrow County,69367
,15,Bartow County,100157
,17,Ben Hill County,17634
,19,Berrien County,19286
,21,Bibb County,155547
,23,Bleckley County,13063
,25,Brantley County,18411
,27,Brooks County,16243
,29,Bryan County,30233
,31,Bulloch County,70217
,33,Burke County,23316
,35,Butts County,23655
,37,Calhoun County,6694
,39,Camden County,50513
,43,Candler County,10998
,45,Carroll County,110527
,47,Catoosa County,63942
,49,Charlton County,12171
,51,Chatham County,265128
,53,Chattahoochee County,11267
,55,Chattooga County,26015
,57,Cherokee County,214346
,59,Clarke County,116714
,61,Clay County,3183
,63,Clayton County,259424
,65,Clinch County,6798
,67,Cobb County,688078
,69,Coffee County,42356
,71,Colquitt County,45498
,73,Columbia County,124053
,75,Cook County,17212
,77,Coweta County,127317
,79,Crawford County,12630
,81,Crisp County,23439
,83,Dade County,16633
,85,Dawson County,22330
,87,Decatur County,27842
,89,DeKalb County,691893
,91,Dodge County,21796
,93,Dooly County,14918
,95,Dougherty County,94565
,97,Douglas County,132403
,99,Early County,11008
,101,Echols County,4034
,103,Effingham County,52250
,105,Elbert County,20166
,107,Emanuel County,22598
,109,Evans County,11000
,111,Fannin County,23682
,113,Fayette County,106567
,115,Floyd County,96317
,117,Forsyth County,175511
,119,Franklin County,22084
,121,Fulton County,920581
,123,Gilmer County,28292
,125,Glascock County,3082
,127,Glynn County,79626
,129,Gordon County,55186
,131,Grady County,25011
,133,Greene County,15994
,135,Gwinnett County,805321
,137,Habersham County,43041
,139,Hall County,179684
,141,Hancock County,9429
,143,Haralson County,28780
,145,Harris County,32024
,147,Hart County,25213
,149,Heard County,11834
,151,Henry County,203922
,153,Houston County,139900
,155,Irwin County,9538
,157,Jackson County,60485
,159,Jasper County,13900
,161,Jeff Davis County,15068
,163,Jefferson County,16930
,165,Jenkins County,8340
,167,Johnson County,9980
,169,Jones County,28669
,171,Lamar County,18317
,173,Lanier County,10078
,175,Laurens County,48434
,177,Lee County,28298
,179,Liberty County,63453
,181,Lincoln County,7996
,183,Long County,14464
,185,Lowndes County,109233
,187,Lumpkin County,29966
,189,McDuffie County,21875
,191,McIntosh County,14333
,193,Macon County,14740
,195,Madison County,28120
,197,Marion County,8742
,199,Meriwether County,21992
,201,Miller County,6125
,205,Mitchell County,23498
,207,Monroe County,26424
,209,Montgomery County,9123
,211,Morgan County,17868
,213,Murray County,39628
,215,Muscogee County,189885
,217,Newton County,99958
,219,Oconee County,32808
,221,Oglethorpe County,14899
,223,Paulding County,142324
,225,Peach County,27695
,227,Pickens County,29431
,229,Pierce County,18758
,231,Pike County,17869
,233,Polk County,41475
,235,Pulaski County,12010
,237,Putnam County,21218
,239,Quitman County,2513
,241,Rabun County,16276
,243,Randolph County,7719
,245,Richmond County,200549
,247,Rockdale County,85215
,249,Schley County,5010
,251,Screven County,14593
,253,Seminole County,8729
,255,Spalding County,64073
,257,Stephens County,26175
,259,Stewart County,6058
,261,Sumter County,32819
,263,Talbot County,6865
,265,Taliaferro County,1717
,267,Tattnall County,25520
,269,Taylor County,8906
,271,Telfair County,16500
,273,Terrell County,9315
,275,Thomas County,44720
,277,Tift County,40118
,279,Toombs County,27223
,281,Towns County,10471
,283,Treutlen County,6885
,285,Troup County,67044
,287,Turner County,8930
,289,Twiggs County,9023
,291,Union County,21356
,293,Upson County,27153
,295,Walker County,68756
,297,Walton County,83768
,299,Ware County,36312
,301,Warren County,5834
,303,Washington County,21187
,305,Wayne County,30099
,307,Webster County,2799
,309,Wheeler County,7421
,311,White County,27144
,313,Whitfield County,102599
,315,Wilcox County,9255
,317,Wilkes County,10593
,319,Wilkinson County,9563
,321,Worth County,21679
13 Total,,,60928.63522
Grand Total,,,60928.63522
