GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US37119000100,37119000100,"Census Tract 1, Mecklenburg County, North Carolina",3538,437,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1,4,17,26,0,12,0,12,18,29,149,111,50,47,113,84,366,243,275,138,1371,279,719,210,222,96,237,251
1400000US37119000300,37119000300,"Census Tract 3, Mecklenburg County, North Carolina",595,75,5,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,21,0,12,0,12,14,16,29,25,0,12,0,12,51,33,24,22,13,12,47,26,37,27,238,46,72,38,44,29,5,7
1400000US37119000400,37119000400,"Census Tract 4, Mecklenburg County, North Carolina",2175,212,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,37,43,26,40,33,46,9,15,21,24,9,15,35,31,199,126,61,35,1119,180,471,137,121,79,34,27
1400000US37119000500,37119000500,"Census Tract 5, Mecklenburg County, North Carolina",3482,378,37,37,0,12,0,12,0,12,11,23,0,12,36,50,0,12,21,33,0,12,16,25,18,28,62,77,110,91,45,52,62,47,171,183,61,70,217,150,94,78,1558,375,707,275,192,116,64,49
1400000US37119000600,37119000600,"Census Tract 6, Mecklenburg County, North Carolina",1905,230,26,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,11,0,12,33,37,72,44,28,34,0,12,176,77,9,18,40,43,169,75,94,61,757,135,374,131,111,62,9,13
1400000US37119000700,37119000700,"Census Tract 7, Mecklenburg County, North Carolina",637,96,3,8,0,12,0,12,0,12,4,6,0,12,7,13,0,12,0,12,0,12,5,9,0,12,23,37,10,13,23,17,122,69,6,10,7,13,132,61,57,25,182,71,52,34,0,12,4,7
1400000US37119000800,37119000800,"Census Tract 8, Mecklenburg County, North Carolina",1600,163,7,10,0,12,0,12,0,12,5,8,37,20,18,17,0,12,0,12,6,8,0,12,37,19,91,60,113,54,14,15,439,99,101,43,184,51,174,53,132,57,187,67,55,38,0,12,0,12
1400000US37119000900,37119000900,"Census Tract 9, Mecklenburg County, North Carolina",1295,126,35,24,0,12,0,12,0,12,0,12,9,11,0,12,12,16,4,6,0,12,12,17,20,21,92,44,58,41,46,44,298,79,17,21,72,38,172,80,139,53,210,80,84,41,15,13,0,12
1400000US37119001000,37119001000,"Census Tract 10, Mecklenburg County, North Carolina",2032,141,14,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,10,0,12,11,17,42,51,7,11,7,12,49,30,13,15,32,33,280,156,64,39,901,135,391,94,129,66,85,51
1400000US37119001100,37119001100,"Census Tract 11, Mecklenburg County, North Carolina",1653,150,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,9,12,17,33,41,6,9,198,108,30,25,101,53,170,52,60,37,610,106,297,67,96,39,31,22
1400000US37119001200,37119001200,"Census Tract 12, Mecklenburg County, North Carolina",3849,543,208,230,0,17,0,17,43,67,0,17,0,17,0,17,0,17,276,319,0,17,60,71,110,97,127,98,49,45,53,54,301,140,32,41,131,80,658,187,275,133,847,198,453,156,178,109,48,42
1400000US37119001300,37119001300,"Census Tract 13, Mecklenburg County, North Carolina",2892,236,137,80,0,12,0,12,0,12,0,12,0,12,0,12,22,32,7,14,24,29,0,12,188,85,109,63,123,65,24,31,501,115,123,60,158,80,580,129,236,87,496,116,155,68,9,16,0,12
1400000US37119001400,37119001400,"Census Tract 14, Mecklenburg County, North Carolina",2107,217,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,23,29,36,22,26,65,43,27,24,46,48,43,38,295,88,30,37,54,38,367,139,79,74,657,131,297,74,82,51,0,12
1400000US37119001504,37119001504,"Census Tract 15.04, Mecklenburg County, North Carolina",4261,544,81,114,0,17,27,46,0,17,26,44,87,97,136,121,35,57,229,167,68,90,67,81,81,95,119,120,139,128,87,103,1018,310,189,140,141,108,715,243,393,161,490,200,89,85,32,52,12,19
1400000US37119001505,37119001505,"Census Tract 15.05, Mecklenburg County, North Carolina",2375,239,71,73,0,12,0,12,0,12,27,39,9,15,10,16,74,82,68,60,26,44,114,90,144,128,79,67,10,17,18,23,296,154,53,38,185,75,532,205,188,97,323,97,125,55,0,12,23,27
1400000US37119001507,37119001507,"Census Tract 15.07, Mecklenburg County, North Carolina",2396,274,88,89,0,12,0,12,0,12,9,16,0,12,24,36,34,56,163,116,24,37,9,15,144,93,118,86,67,45,113,71,566,200,63,67,196,66,486,164,121,67,111,71,60,40,0,12,0,12
1400000US37119001508,37119001508,"Census Tract 15.08, Mecklenburg County, North Carolina",4087,390,199,127,0,17,0,17,41,63,117,175,37,30,0,17,14,23,43,69,53,80,0,17,108,83,0,17,54,49,87,63,798,203,127,74,221,107,479,158,252,96,1013,214,341,146,30,45,73,59
1400000US37119001509,37119001509,"Census Tract 15.09, Mecklenburg County, North Carolina",2078,269,36,22,0,12,0,12,0,12,25,40,28,32,0,12,37,46,35,57,0,12,9,15,26,42,98,54,49,39,54,50,545,160,83,64,87,37,465,148,217,92,218,129,40,28,20,23,6,10
1400000US37119001510,37119001510,"Census Tract 15.10, Mecklenburg County, North Carolina",2057,173,13,17,0,12,0,12,0,12,0,12,17,26,0,12,52,61,69,65,0,12,10,14,91,73,23,31,62,56,31,45,424,130,198,108,93,62,327,132,249,72,294,87,87,43,0,12,17,19
1400000US37119001603,37119001603,"Census Tract 16.03, Mecklenburg County, North Carolina",3170,258,57,54,0,12,0,12,0,12,0,12,0,12,54,87,64,66,85,53,46,65,94,73,76,47,93,60,108,68,52,39,898,262,132,103,130,64,498,123,128,72,416,143,175,78,24,31,40,25
1400000US37119001605,37119001605,"Census Tract 16.05, Mecklenburg County, North Carolina",1346,160,83,53,0,12,0,12,2,4,0,12,0,12,0,12,17,27,46,39,0,12,55,45,70,51,4,6,36,41,17,17,257,100,76,50,76,37,164,70,64,35,312,118,39,25,23,18,5,9
1400000US37119001606,37119001606,"Census Tract 16.06, Mecklenburg County, North Carolina",2782,286,35,44,0,12,0,12,0,12,0,12,165,94,34,50,35,46,158,101,84,72,49,64,100,95,28,34,139,95,24,22,670,209,59,45,143,67,386,126,247,99,273,96,101,53,26,22,26,31
1400000US37119001607,37119001607,"Census Tract 16.07, Mecklenburg County, North Carolina",1841,244,44,44,0,12,0,12,0,12,24,38,49,55,0,12,0,12,57,66,8,12,43,35,119,106,29,42,65,57,16,25,518,181,9,10,37,28,478,160,49,29,211,93,24,25,48,48,13,28
1400000US37119001608,37119001608,"Census Tract 16.08, Mecklenburg County, North Carolina",2590,222,140,90,0,12,0,12,0,12,0,12,12,20,42,47,62,48,148,79,54,45,71,52,138,78,63,57,82,47,46,33,519,111,56,44,165,68,444,103,158,83,351,123,31,35,8,15,0,12
1400000US37119001609,37119001609,"Census Tract 16.09, Mecklenburg County, North Carolina",2004,173,66,63,0,12,0,12,6,9,0,12,0,12,0,12,25,26,79,49,13,17,17,25,140,67,24,20,61,43,19,22,573,178,46,28,106,45,287,96,154,68,352,87,36,37,0,12,0,12
1400000US37119001701,37119001701,"Census Tract 17.01, Mecklenburg County, North Carolina",2835,237,168,97,0,12,0,12,0,12,0,12,28,42,13,21,36,45,55,52,23,26,36,30,179,138,95,80,48,33,75,53,331,111,114,70,166,80,343,119,337,119,624,162,115,61,41,53,8,12
1400000US37119001702,37119001702,"Census Tract 17.02, Mecklenburg County, North Carolina",3374,306,269,132,0,17,0,17,0,17,38,41,103,96,24,40,36,42,83,99,118,81,133,90,208,133,137,87,163,90,41,35,733,202,100,75,254,105,222,96,227,83,343,115,120,69,14,18,8,15
1400000US37119001801,37119001801,"Census Tract 18.01, Mecklenburg County, North Carolina",996,90,7,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,12,0,12,5,8,2,4,38,38,15,14,185,69,27,25,59,30,191,52,61,32,309,91,58,36,18,22,14,15
1400000US37119001802,37119001802,"Census Tract 18.02, Mecklenburg County, North Carolina",2407,187,27,28,0,12,0,12,0,12,0,12,0,12,1,3,0,12,0,12,0,12,10,14,20,28,28,33,29,37,59,61,487,141,87,50,126,80,369,120,241,114,559,157,240,83,89,42,35,30
1400000US37119001910,37119001910,"Census Tract 19.10, Mecklenburg County, North Carolina",3502,319,198,149,0,17,0,17,21,31,50,79,168,166,0,17,0,17,198,84,16,25,32,37,214,114,98,79,98,63,70,44,910,219,96,55,183,72,377,103,294,114,385,109,90,44,0,17,4,10
1400000US37119001911,37119001911,"Census Tract 19.11, Mecklenburg County, North Carolina",3821,280,98,101,0,17,0,17,0,17,30,47,0,17,0,17,0,17,37,48,21,30,55,77,34,28,163,123,43,42,100,59,906,233,224,102,271,123,751,175,320,108,605,159,138,54,14,19,11,20
1400000US37119001912,37119001912,"Census Tract 19.12, Mecklenburg County, North Carolina",4291,527,194,152,0,17,0,17,0,17,86,127,0,17,56,61,9,21,121,100,118,132,172,134,184,144,218,171,212,162,18,31,968,287,128,99,238,125,808,274,283,125,379,148,86,91,0,17,13,22
1400000US37119001914,37119001914,"Census Tract 19.14, Mecklenburg County, North Carolina",2357,230,23,29,0,12,0,12,0,12,23,32,19,31,0,12,19,28,182,137,0,12,49,57,94,89,67,78,37,34,52,46,479,142,33,25,131,55,408,128,154,61,467,124,105,63,15,18,0,12
1400000US37119001915,37119001915,"Census Tract 19.15, Mecklenburg County, North Carolina",3803,316,58,66,26,47,0,17,0,17,0,17,0,17,38,61,12,20,57,78,0,17,0,17,61,76,101,94,38,44,138,114,678,225,10,23,183,117,891,248,457,182,730,263,252,137,45,60,28,29
1400000US37119001916,37119001916,"Census Tract 19.16, Mecklenburg County, North Carolina",2477,247,4,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,25,0,12,44,45,113,88,71,75,398,121,141,57,186,82,645,170,239,92,521,160,37,38,36,37,24,30
1400000US37119001917,37119001917,"Census Tract 19.17, Mecklenburg County, North Carolina",2692,231,31,36,0,12,0,12,0,12,24,39,37,58,0,12,6,11,61,67,20,24,88,69,18,27,115,90,81,96,54,47,781,201,218,124,208,85,479,113,114,72,264,100,77,61,16,17,0,12
1400000US37119001918,37119001918,"Census Tract 19.18, Mecklenburg County, North Carolina",2578,261,99,87,0,12,0,12,0,12,3,6,18,22,0,12,21,27,56,57,48,47,5,10,69,53,65,67,52,48,65,39,464,170,87,57,251,83,375,105,198,89,599,170,94,52,0,12,9,14
1400000US37119001919,37119001919,"Census Tract 19.19, Mecklenburg County, North Carolina",2740,219,48,67,0,12,0,12,18,28,0,12,28,41,92,91,0,12,86,93,9,15,10,18,116,78,64,52,36,39,64,60,510,188,141,80,248,82,294,120,408,134,370,115,173,93,25,26,0,12
1400000US37119001920,37119001920,"Census Tract 19.20, Mecklenburg County, North Carolina",2815,272,19,31,0,12,0,12,0,12,29,45,11,19,0,12,0,12,84,86,6,10,22,34,78,62,50,56,15,25,13,22,728,190,181,116,138,63,698,162,212,100,409,132,108,58,14,24,0,12
1400000US37119001921,37119001921,"Census Tract 19.21, Mecklenburg County, North Carolina",1510,161,32,37,0,12,0,12,0,12,6,11,8,13,8,14,7,10,17,18,5,7,0,12,0,12,47,35,4,8,31,22,368,93,64,38,97,47,305,82,128,41,289,96,94,55,0,12,0,12
1400000US37119001922,37119001922,"Census Tract 19.22, Mecklenburg County, North Carolina",2994,291,31,36,0,12,0,12,0,12,0,12,0,12,0,12,39,48,22,27,21,35,29,37,62,47,92,65,68,46,20,23,770,204,185,106,313,105,585,149,310,147,293,110,134,98,5,9,15,24
1400000US37119001923,37119001923,"Census Tract 19.23, Mecklenburg County, North Carolina",2445,235,36,38,0,12,0,12,0,12,0,12,0,12,0,12,12,21,21,23,21,25,18,28,111,97,36,39,20,30,29,27,821,198,55,38,124,59,434,163,282,88,327,113,98,54,0,12,0,12
1400000US37119002002,37119002002,"Census Tract 20.02, Mecklenburg County, North Carolina",4665,299,12,21,0,17,0,17,0,17,0,17,0,17,28,41,0,17,19,33,0,17,1,4,38,48,35,45,47,60,31,43,287,140,8,18,146,96,635,199,297,143,1803,280,960,222,280,125,38,45
1400000US37119002003,37119002003,"Census Tract 20.03, Mecklenburg County, North Carolina",4377,298,47,54,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,23,41,17,27,52,68,63,58,109,72,56,54,600,326,130,124,228,132,534,191,396,143,1513,313,443,157,134,102,32,37
1400000US37119002004,37119002004,"Census Tract 20.04, Mecklenburg County, North Carolina",3485,341,14,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,3,6,51,74,0,12,0,12,11,18,290,145,101,79,347,110,231,116,144,90,1428,277,762,230,56,60,47,49
1400000US37119002100,37119002100,"Census Tract 21, Mecklenburg County, North Carolina",2045,176,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,33,11,23,10,15,47,47,11,12,16,20,7,13,450,137,36,28,148,72,365,91,135,72,530,113,232,108,10,13,12,15
1400000US37119002200,37119002200,"Census Tract 22, Mecklenburg County, North Carolina",3414,265,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,30,1,3,24,45,240,111,0,12,77,50,429,133,132,84,1589,240,664,158,196,89,46,59
1400000US37119002300,37119002300,"Census Tract 23, Mecklenburg County, North Carolina",1394,151,14,13,0,12,0,12,0,12,19,21,17,18,0,12,0,12,20,22,0,12,4,6,35,36,49,28,190,67,59,28,362,95,58,37,75,41,267,73,111,57,88,47,26,25,0,12,0,12
1400000US37119002400,37119002400,"Census Tract 24, Mecklenburg County, North Carolina",2390,231,22,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,19,234,111,54,61,96,50,360,129,89,55,1038,176,334,88,115,61,36,30
1400000US37119002500,37119002500,"Census Tract 25, Mecklenburg County, North Carolina",1378,131,3,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,7,0,12,10,12,0,12,0,12,87,44,11,11,32,18,200,71,83,39,578,89,237,77,93,41,39,21
1400000US37119002600,37119002600,"Census Tract 26, Mecklenburg County, North Carolina",666,103,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,14,5,9,0,12,0,12,17,16,9,14,6,9,73,60,0,12,22,17,112,41,48,29,188,49,111,41,25,16,40,22
1400000US37119002701,37119002701,"Census Tract 27.01, Mecklenburg County, North Carolina",1692,128,0,12,0,12,0,12,0,12,17,26,0,12,0,12,0,12,0,12,0,12,8,18,8,18,0,12,9,18,24,27,76,33,0,12,10,15,132,54,28,26,845,133,369,92,137,57,29,25
1400000US37119002702,37119002702,"Census Tract 27.02, Mecklenburg County, North Carolina",3568,248,18,29,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,12,114,88,0,17,60,48,248,117,165,99,1542,278,818,170,525,176,70,51
1400000US37119002800,37119002800,"Census Tract 28, Mecklenburg County, North Carolina",2522,170,4,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,13,0,12,0,12,0,12,18,23,6,13,26,22,8,17,30,24,208,77,52,32,1204,157,601,121,299,97,61,44
1400000US37119002903,37119002903,"Census Tract 29.03, Mecklenburg County, North Carolina",2721,157,0,12,0,12,0,12,0,12,0,12,0,12,7,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,0,12,27,20,20,21,46,43,284,106,162,87,1255,203,480,142,313,86,119,53
1400000US37119002904,37119002904,"Census Tract 29.04, Mecklenburg County, North Carolina",4640,350,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,6,12,13,22,0,17,64,102,30,33,223,116,58,72,81,62,514,179,288,132,1832,271,1032,217,341,142,158,106
1400000US37119002905,37119002905,"Census Tract 29.05, Mecklenburg County, North Carolina",2172,162,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1,3,24,24,12,17,39,29,168,62,83,65,1075,155,587,122,139,57,44,34
1400000US37119002906,37119002906,"Census Tract 29.06, Mecklenburg County, North Carolina",3206,292,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,10,27,43,15,22,27,38,111,47,27,21,105,63,242,100,132,58,1685,234,492,113,251,150,87,50
1400000US37119003006,37119003006,"Census Tract 30.06, Mecklenburg County, North Carolina",3202,188,12,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,18,8,13,178,80,28,31,152,54,286,99,233,82,1426,214,656,119,165,63,46,25
1400000US37119003007,37119003007,"Census Tract 30.07, Mecklenburg County, North Carolina",4899,273,53,53,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,9,15,0,17,0,17,45,46,397,174,0,17,98,63,466,170,323,139,2092,253,881,186,388,130,147,94
1400000US37119003008,37119003008,"Census Tract 30.08, Mecklenburg County, North Carolina",4187,317,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,20,56,61,85,103,45,74,80,61,658,205,14,22,242,127,660,254,317,132,1379,244,550,205,89,62,0,17
1400000US37119003011,37119003011,"Census Tract 30.11, Mecklenburg County, North Carolina",4886,279,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,17,26,0,17,0,17,0,17,16,25,5,11,47,55,454,150,20,27,116,65,532,149,227,106,2390,362,624,211,277,112,161,101
1400000US37119003012,37119003012,"Census Tract 30.12, Mecklenburg County, North Carolina",3440,331,43,46,0,12,0,12,0,12,0,12,77,90,0,12,0,12,90,121,23,36,10,17,0,12,0,12,12,12,16,18,190,93,29,33,164,81,379,98,214,107,1426,287,548,137,178,52,41,32
1400000US37119003013,37119003013,"Census Tract 30.13, Mecklenburg County, North Carolina",3747,178,45,44,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,25,41,27,44,17,28,15,25,39,43,304,155,47,53,91,66,548,164,185,104,1461,237,641,185,207,126,95,72
1400000US37119003015,37119003015,"Census Tract 30.15, Mecklenburg County, North Carolina",3377,193,17,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2,4,16,18,25,28,282,127,53,37,126,53,496,143,140,73,1440,191,542,103,135,60,103,58
