GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",3166,228,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,9,20,0,13,0,13,22,29,8,20,19,25,179,82,54,54,140,80,206,92,82,56,1232,173,834,183,227,80,154,69
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",1897,166,0,13,0,13,0,13,0,13,0,13,1,3,0,13,0,13,0,13,0,13,13,16,1,3,1,4,2,4,4,12,76,44,15,22,58,40,157,94,16,20,814,125,389,93,180,83,170,70
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",854,155,0,13,0,13,0,13,0,13,0,13,0,13,0,13,13,26,0,13,0,13,22,29,0,13,4,8,3,8,0,13,46,47,7,13,25,30,96,54,15,20,364,100,167,66,38,28,54,33
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",2153,197,11,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,22,0,13,24,33,0,13,0,13,3,6,11,17,103,52,12,17,43,28,249,100,60,47,914,168,442,108,96,44,175,68
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",3324,325,14,25,0,13,0,13,0,13,15,24,0,13,0,13,0,13,0,13,0,13,25,34,26,36,0,13,73,113,17,27,242,255,116,96,72,53,174,100,125,123,1612,335,594,221,105,77,114,75
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",2430,187,11,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,16,0,13,0,13,12,18,0,13,38,50,174,69,51,49,55,64,305,89,71,56,856,187,590,151,120,60,137,72
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",3797,434,17,30,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,10,19,21,32,0,18,400,258,50,81,131,103,299,144,63,53,1505,266,825,187,222,108,254,101
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",2089,224,12,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,37,48,0,13,0,13,16,26,0,13,0,13,0,13,110,45,26,28,29,24,220,96,34,31,1013,182,402,120,94,50,96,56
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",2534,218,0,13,0,13,0,13,0,13,30,46,0,13,0,13,0,13,6,9,0,13,0,13,10,18,8,14,29,37,0,13,119,68,67,53,49,35,422,126,64,41,1130,177,462,147,74,42,64,39
