RIN,PRIMARY_KEY,INCIDENT_DATE,LOCATION_DISTRICT,INCIDENT_REASON,REASON_FOR_FORCE,SUBJECT_ID,SUBJECT_GENDER,SUBJECT_RACE,SUBJECT_ROLE,SUBJECT_DESCRIPTION,REASON_FOR_FORCE,TYPE_OF_FORCE_USED1,TYPE_OF_FORCE_USED2,TYPE_OF_FORCE_USED3,TYPE_OF_FORCE_USED4,NUMBER_EC_CYCLES,SUBJECT_INJURY_TYPE,OFFICER_INJURY_TYPE,,OFFICER_YEARS_ON_FORCE,Y_COORDINATE,Y_COORDINATE,LOCATION_DISTRICT,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE,LOCATION_LATITUDE,LOCATION_LONGITUDE
RIN,Primary Key,Date Occurred,Area Command,Nature of Contact,Reason Desc,Master Subject ID,Subject Sex,Race,Subject Role,Subject Conduct Desc,Subject Resistance,Weapon Used 1,Weapon Used 2,Weapon Used 3,Weapon Used 4,Number Shots,Subject Effects,Effect on Officer,Officer Organization Desc,Officer Yrs of Service,X-Coordinate,Y-Coordinate,City Council District,Geolocation,City,State,Latitude,Longitude
156701,2015541517,2/24/2015,FR,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,167510327: 2015541517,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,CRIMINAL INTERDICTION / K9,3,3100341,10030899,5,9900 BLOCK S IH 35 SB,Austin,TX,,
161046,20151510003,5/31/2015,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,459191174: 20151510003,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 300 REG I PATROL,5,3115535,10070296,9,409 E 6TH ST,Austin,TX,,
161381,20151510003,5/31/2015,GE,VIEWED OFFENSE,"IN CUSTODY, MAINTAINING CONTROL",459191174: 20151510003,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,1,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 300 REG I PATROL,7,3115535,10070296,9,409 E 6TH ST,Austin,TX,,
142588,2014111929,1/11/2014,HE,TRAFFIC STOP,NECESSARY TO DEFEND REPORTING OFFICER,198377769: 2014111929,M,Black,SUSPECT,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; PASSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 700 REG III PATROL,4,3117503,10057313,,BURTON DR / E OLTORF ST,Austin,TX,,
162084,20151720001,6/21/2015,GE,DISPATCHED CALL,TO RESTRAIN FOR SUBJECTS SAFETY,459030448: 20151720001,M,Black,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I PATROL,3,3116713,10067447,3,SAN MARCOS ST / SPENCE ST,Austin,TX,,
171144,2016390001,2/8/2016,GE,DISPATCHED CALL,OTHER (DOCUMENT IN SUPPLEMENT),459370303: 2016390001,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-verbal resistance/aggression; expired code-passive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY; COMPLAINT OF INJURY/PAIN,,GEORGE 600 REG I EVENING,9,3114566,10071118,9,701 CONGRESS AVE,Austin,TX,,
143002,2014170002,1/17/2014,GE,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,5041390: 2014170002,M,Hispanic,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,OTHER,CED - PRONGS-ENTER # SHOTS,,,,1,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I PATROL,4,3115601,10070275,,417 E 6TH ST,Austin,TX,30.2669,-97.738652
170384,2016140001,1/14/2016,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,184156528: 2016140001,M,Hispanic,,,expired code-other,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,MINOR INJURY,GEORGE 1100 REG 1 NIGHTS,3,3115403,10070458,9,600 TRINITY ST,Austin,TX,,
161761,20151640003,6/13/2015,CH,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,125633596: 20151640003,M,Black,,,EMPTY HAND DEFENSIVE RESISTANCE,CED - DRIVE STUN-ENTER # SHOTS,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,METRO TAC REGION 3,6,3121725,10072956,1,1915 E 12TH ST,Austin,TX,,
