GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - No schooling completed
HD02_VD02,Margin of Error; Total: - No schooling completed
HD01_VD03,Estimate; Total: - Nursery school
HD02_VD03,Margin of Error; Total: - Nursery school
HD01_VD04,Estimate; Total: - Kindergarten
HD02_VD04,Margin of Error; Total: - Kindergarten
HD01_VD05,Estimate; Total: - 1st grade
HD02_VD05,Margin of Error; Total: - 1st grade
HD01_VD06,Estimate; Total: - 2nd grade
HD02_VD06,Margin of Error; Total: - 2nd grade
HD01_VD07,Estimate; Total: - 3rd grade
HD02_VD07,Margin of Error; Total: - 3rd grade
HD01_VD08,Estimate; Total: - 4th grade
HD02_VD08,Margin of Error; Total: - 4th grade
HD01_VD09,Estimate; Total: - 5th grade
HD02_VD09,Margin of Error; Total: - 5th grade
HD01_VD10,Estimate; Total: - 6th grade
HD02_VD10,Margin of Error; Total: - 6th grade
HD01_VD11,Estimate; Total: - 7th grade
HD02_VD11,Margin of Error; Total: - 7th grade
HD01_VD12,Estimate; Total: - 8th grade
HD02_VD12,Margin of Error; Total: - 8th grade
HD01_VD13,Estimate; Total: - 9th grade
HD02_VD13,Margin of Error; Total: - 9th grade
HD01_VD14,Estimate; Total: - 10th grade
HD02_VD14,Margin of Error; Total: - 10th grade
HD01_VD15,Estimate; Total: - 11th grade
HD02_VD15,Margin of Error; Total: - 11th grade
HD01_VD16,"Estimate; Total: - 12th grade, no diploma"
HD02_VD16,"Margin of Error; Total: - 12th grade, no diploma"
HD01_VD17,Estimate; Total: - Regular high school diploma
HD02_VD17,Margin of Error; Total: - Regular high school diploma
HD01_VD18,Estimate; Total: - GED or alternative credential
HD02_VD18,Margin of Error; Total: - GED or alternative credential
HD01_VD19,"Estimate; Total: - Some college, less than 1 year"
HD02_VD19,"Margin of Error; Total: - Some college, less than 1 year"
HD01_VD20,"Estimate; Total: - Some college, 1 or more years, no degree"
HD02_VD20,"Margin of Error; Total: - Some college, 1 or more years, no degree"
HD01_VD21,Estimate; Total: - Associate's degree
HD02_VD21,Margin of Error; Total: - Associate's degree
HD01_VD22,Estimate; Total: - Bachelor's degree
HD02_VD22,Margin of Error; Total: - Bachelor's degree
HD01_VD23,Estimate; Total: - Master's degree
HD02_VD23,Margin of Error; Total: - Master's degree
HD01_VD24,Estimate; Total: - Professional school degree
HD02_VD24,Margin of Error; Total: - Professional school degree
HD01_VD25,Estimate; Total: - Doctorate degree
HD02_VD25,Margin of Error; Total: - Doctorate degree
